dataset,category,image_id,image_path,target_path
HZ-900,Train,001.png,D:\www\riset\dehazing\dataset\haze1k\train\input\001.png,D:\www\riset\dehazing\dataset\haze1k\train\target\001.png
HZ-900,Train,002.png,D:\www\riset\dehazing\dataset\haze1k\train\input\002.png,D:\www\riset\dehazing\dataset\haze1k\train\target\002.png
HZ-900,Train,003.png,D:\www\riset\dehazing\dataset\haze1k\train\input\003.png,D:\www\riset\dehazing\dataset\haze1k\train\target\003.png
HZ-900,Train,004.png,D:\www\riset\dehazing\dataset\haze1k\train\input\004.png,D:\www\riset\dehazing\dataset\haze1k\train\target\004.png
HZ-900,Train,005.png,D:\www\riset\dehazing\dataset\haze1k\train\input\005.png,D:\www\riset\dehazing\dataset\haze1k\train\target\005.png
HZ-900,Train,006.png,D:\www\riset\dehazing\dataset\haze1k\train\input\006.png,D:\www\riset\dehazing\dataset\haze1k\train\target\006.png
HZ-900,Train,007.png,D:\www\riset\dehazing\dataset\haze1k\train\input\007.png,D:\www\riset\dehazing\dataset\haze1k\train\target\007.png
HZ-900,Train,008.png,D:\www\riset\dehazing\dataset\haze1k\train\input\008.png,D:\www\riset\dehazing\dataset\haze1k\train\target\008.png
HZ-900,Train,009.png,D:\www\riset\dehazing\dataset\haze1k\train\input\009.png,D:\www\riset\dehazing\dataset\haze1k\train\target\009.png
HZ-900,Train,010.png,D:\www\riset\dehazing\dataset\haze1k\train\input\010.png,D:\www\riset\dehazing\dataset\haze1k\train\target\010.png
HZ-900,Train,011.png,D:\www\riset\dehazing\dataset\haze1k\train\input\011.png,D:\www\riset\dehazing\dataset\haze1k\train\target\011.png
HZ-900,Train,012.png,D:\www\riset\dehazing\dataset\haze1k\train\input\012.png,D:\www\riset\dehazing\dataset\haze1k\train\target\012.png
HZ-900,Train,013.png,D:\www\riset\dehazing\dataset\haze1k\train\input\013.png,D:\www\riset\dehazing\dataset\haze1k\train\target\013.png
HZ-900,Train,014.png,D:\www\riset\dehazing\dataset\haze1k\train\input\014.png,D:\www\riset\dehazing\dataset\haze1k\train\target\014.png
HZ-900,Train,015.png,D:\www\riset\dehazing\dataset\haze1k\train\input\015.png,D:\www\riset\dehazing\dataset\haze1k\train\target\015.png
HZ-900,Train,016.png,D:\www\riset\dehazing\dataset\haze1k\train\input\016.png,D:\www\riset\dehazing\dataset\haze1k\train\target\016.png
HZ-900,Train,017.png,D:\www\riset\dehazing\dataset\haze1k\train\input\017.png,D:\www\riset\dehazing\dataset\haze1k\train\target\017.png
HZ-900,Train,018.png,D:\www\riset\dehazing\dataset\haze1k\train\input\018.png,D:\www\riset\dehazing\dataset\haze1k\train\target\018.png
HZ-900,Train,019.png,D:\www\riset\dehazing\dataset\haze1k\train\input\019.png,D:\www\riset\dehazing\dataset\haze1k\train\target\019.png
HZ-900,Train,020.png,D:\www\riset\dehazing\dataset\haze1k\train\input\020.png,D:\www\riset\dehazing\dataset\haze1k\train\target\020.png
HZ-900,Train,021.png,D:\www\riset\dehazing\dataset\haze1k\train\input\021.png,D:\www\riset\dehazing\dataset\haze1k\train\target\021.png
HZ-900,Train,022.png,D:\www\riset\dehazing\dataset\haze1k\train\input\022.png,D:\www\riset\dehazing\dataset\haze1k\train\target\022.png
HZ-900,Train,023.png,D:\www\riset\dehazing\dataset\haze1k\train\input\023.png,D:\www\riset\dehazing\dataset\haze1k\train\target\023.png
HZ-900,Train,024.png,D:\www\riset\dehazing\dataset\haze1k\train\input\024.png,D:\www\riset\dehazing\dataset\haze1k\train\target\024.png
HZ-900,Train,025.png,D:\www\riset\dehazing\dataset\haze1k\train\input\025.png,D:\www\riset\dehazing\dataset\haze1k\train\target\025.png
HZ-900,Train,026.png,D:\www\riset\dehazing\dataset\haze1k\train\input\026.png,D:\www\riset\dehazing\dataset\haze1k\train\target\026.png
HZ-900,Train,027.png,D:\www\riset\dehazing\dataset\haze1k\train\input\027.png,D:\www\riset\dehazing\dataset\haze1k\train\target\027.png
