dataset,category,method,Avg_PSNR,Avg_SSIM,Avg_Time,N
RR,moderate_fog,H-EDCP-A,14.582067125721982,0.445546057382414,0.014701215130978534,152
RR,moderate_fog,H-EDCP-B-GC,15.107544221376118,0.4603206127903419,0.01476773486865568,152
RR,moderate_fog,H-EDCP-C-AGC,14.785150195422926,0.3816150791574444,0.014352463814966063,152
RR,moderate_fog,H-EDCP-C-GC,15.124336412078456,0.44685100924081705,0.014472591448889273,152
RR,thick_fog,H-EDCP-A,11.8230451282702,0.34868845428761963,0.01559657763420163,76
RR,thick_fog,H-EDCP-B-GC,12.764812049112821,0.36636753809994566,0.015146398684392855,76
RR,thick_fog,H-EDCP-C-AGC,13.126719951629639,0.31078749338480527,0.01596864078831124,76
RR,thick_fog,H-EDCP-C-GC,12.968836683976022,0.3520133246503321,0.015122543421871103,76
RR,thin_fog,H-EDCP-A,17.291599236036603,0.47250978482541567,0.01783396710418042,76
RR,thin_fog,H-EDCP-B-GC,17.603913407576712,0.4847858527899581,0.017284875000385863,76
RR,thin_fog,H-EDCP-C-AGC,16.239679386741237,0.410869403044142,0.017021384210046994,76
RR,thin_fog,H-EDCP-C-GC,17.56099033355713,0.4772114635762236,0.016607619734713808,76
